precinct_id,GEOID,democratic_votes,republican_votes,total_votes
0,45001-Abbeville No. 1,354,923,1292
1,45001-Abbeville No. 2,554,341,907
2,45001-Abbeville No. 3,375,515,899
3,45001-Abbeville No. 4,191,416,615
4,45001-Antreville,162,831,1004
5,45001-Broadmouth,65,331,399
6,45001-Calhoun Falls,541,557,1105
7,45001-Cold Springs,134,604,745
8,45001-Donalds,52,347,400
9,45001-Due West,281,811,1115
10,45001-Hall's Store,120,320,445
11,45001-Keowee,127,768,904
12,45001-Lebanon,138,448,597
13,45001-Lowndesville,126,758,894
14,45001-Smithville,179,532,720
15,45003-N. Augusta No. 55,259,502,772
16,45003-Six Points No. 35,437,603,1055
17,45003-Vaucluse,743,1088,1864
18,45003-Aiken No. 2,477,166,654
19,45003-Six Points No. 46,582,121,713
20,45003-Aiken No. 5,442,309,767
21,45003-Hollow Creek,364,666,1047
22,45003-Sandstone No. 70,300,461,780
23,45003-Aiken No. 4,288,81,375
24,45003-Couchton,327,598,935
25,45003-Gem Lakes No. 60,297,692,1002
26,45003-South Aiken No. 75,554,1020,1588
27,45003-Hitchcock No. 66,291,462,765
28,45003-Levels No. 72,330,419,763
29,45003-Ward,376,695,1083
30,45003-Shaws Fork,177,418,605
31,45003-Beech Island,514,482,1008
32,45003-Jackson,222,873,1109
33,45003-Pine Forest,324,1054,1389
34,45003-Carolina Heights,440,302,750
35,45003-White Pond,226,342,568
36,45003-Montmorenci No. 78,276,486,772
37,45003-Talatha,518,1020,1553
38,45003-Sleepy Hollow No. 65,362,1068,1446
39,45003-New Holland,145,483,634
40,45003-Monetta,250,487,750
41,45003-Tabernacle,211,305,525
42,45003-Perry,141,493,647
43,45003-Misty Lakes,513,914,1450
44,45003-Midland Valley No. 71,663,1236,1917
45,45003-N. Augusta No. 80,165,496,668
46,45003-N. Augusta No. 29,414,629,1068
47,45003-Belvedere No. 74,151,280,439
48,45003-Belvedere No. 9,448,510,972
49,45003-N. Augusta No. 25,405,518,942
50,45003-Fox Creek No. 73,321,984,1315
51,45003-N. Augusta No. 54,380,327,716
52,45003-Belvedere No. 44,360,568,948
53,45003-N. Augusta No. 26,299,338,647
54,45003-Clearwater,167,219,396
55,45003-Willow Springs,200,659,871
56,45003-Gloverville,191,535,738
57,45003-Langley,189,613,807
58,45003-Lynwood,124,412,540
59,45003-Fox Creek No. 58,301,762,1078
60,45003-N. Augusta No. 68,241,786,1045
61,45003-Ascauga Lake No. 84,293,683,985
62,45003-Ascauga Lake,212,549,765
63,45003-Graniteville,192,438,639
64,45003-Eureka,312,887,1213
65,45003-China Springs,561,379,958
66,45003-Warrenville,436,977,1431
67,45003-Aiken No. 1,344,588,942
68,45003-Aiken No. 47,326,434,767
69,45003-Aiken No. 3,652,152,819
70,45003-Millbrook,508,800,1329
71,45003-Levels No. 83,274,311,596
72,45003-Gem Lakes No. 77,365,835,1221
73,45003-Redds Branch,275,578,860
74,45003-College Acres,434,845,1303
75,45003-Aiken No. 6,387,537,943
76,45003-Montmorenci No. 22,538,863,1417
77,45003-Anderson Pond No. 69,701,1324,2044
78,45003-Levels No. 52,332,361,703
79,45003-Sandstone No. 79,330,474,815
80,45003-Shiloh,412,1030,1453
81,45003-Hammond No. 81,292,591,893
82,45003-Silver Bluff,637,690,1349
83,45003-Hammond,382,665,1056
84,45003-Windsor,265,574,853
85,45003-Windsor No. 82,241,520,772
86,45003-Bath,198,278,481
87,45003-Cedar Creek No. 64,432,955,1404
88,45003-Oak Grove,188,661,860
89,45003-New Ellenton,514,559,1093
90,45003-N. Augusta No. 27,265,897,1194
91,45003-Salley,191,259,459
92,45003-Wagener,533,919,1470
93,45003-Belvedere No. 62,461,450,930
94,45003-N. Augusta No. 28,235,560,807
95,45003-N. Augusta No. 67,276,759,1056
96,45003-South Aiken No. 76,371,640,1020
97,45003-Midland Valley No. 51,360,726,1103
98,45003-Breezy Hill,720,524,1267
99,45003-South Creek No. 89,279,589,875
100,45003-Midlands No. 88,396,700,1104
101,45003-Community No. 86,212,463,685
102,45003-Breezy No. 87,137,366,513
103,45003-Creek No. 85,371,643,1035
104,45005-Allendale No. 1,468,98,577
105,45005-Allendale No. 2,486,12,508
106,45005-Fairfax No. 1,176,110,288
107,45005-Fairfax No. 2,497,77,581
108,45005-Martin,125,50,176
109,45005-Sycamore,62,177,242
110,45005-Ulmer,44,96,144
111,45005-Woods,306,191,504
112,45007-Anderson 1/1,392,592,1005
113,45007-Anderson 1/2,275,714,1015
114,45007-Anderson 2/1,318,696,1030
115,45007-Anderson 2/2,573,1145,1748
116,45007-Anderson 3/1,228,217,452
117,45007-Anderson 3/2,291,325,625
118,45007-Anderson 4/1,431,125,567
119,45007-Anderson 4/2,813,365,1192
120,45007-Anderson 5/B,425,161,598
121,45007-Anderson 6/1,515,830,1376
122,45007-Anderson 6/2,334,204,547
123,45007-Appleton-Equinox,213,223,443
124,45007-Barker's Creek-Mcadams,34,312,348
125,45007-Belton,307,989,1313
126,45007-Belton Annex,307,1011,1340
127,45007-Bishop's Branch,357,1192,1567
128,45007-Bowling Green,140,648,794
129,45007-Broadview,257,209,472
130,45007-Broadway,140,471,616
131,45007-Brushy Creek,386,1553,1960
132,45007-Cedar Grove,172,919,1096
133,45007-Center Rock,436,1509,1966
134,45007-Centerville Station A,588,1579,2188
135,45007-Centerville Station B,584,1377,1984
136,45007-Chiquola Mill,136,255,397
137,45007-Concrete,655,1742,2426
138,45007-Cox's Creek,241,545,797
139,45007-Craytonville,72,723,797
140,45007-Denver-Sandy Springs,355,1013,1396
141,45007-Edgewood Station A,506,909,1430
142,45007-Edgewood Station B,428,1096,1543
143,45007-Five Forks,325,1021,1365
144,45007-Flat Rock,182,797,984
145,45007-Fork No. 1,210,978,1205
146,45007-Fork No. 2,236,1090,1346
147,45007-Friendship,112,652,770
148,45007-Glenview,499,1030,1549
149,45007-Gluck Mill,261,493,764
150,45007-Green Pond Station A,416,1466,1904
151,45007-Hall,183,838,1029
152,45007-Hammond Annex,427,1073,1522
153,45007-Hammond School,522,1488,2038
154,45007-High Point,51,408,463
155,45007-Homeland Park,48,273,322
156,45007-Honea Path,189,822,1026
157,45007-Hopewell,367,1007,1395
158,45007-Hunt Meadows,786,2776,3603
159,45007-Iva,139,1002,1153
160,45007-Jackson Mill,111,884,1006
161,45007-LaFrance,192,546,749
162,45007-Lakeside,580,1115,1708
163,45007-Melton,121,459,585
164,45007-Mount Tabor,492,1519,2045
165,45007-Mountain Creek,122,429,558
166,45007-Mt. Airy,363,1511,1895
167,45007-Neal's Creek,421,1012,1445
168,45007-North Pointe,379,1261,1661
169,45007-Pelzer,87,464,555
170,45007-Pendleton,1255,1651,2962
171,45007-Piedmont,169,578,758
172,45007-Piercetown,391,1525,1934
173,45007-Powdersville,660,1878,2566
174,45007-Rock Mill,192,821,1020
175,45007-Rock Spring,114,499,621
176,45007-Shirley's Store,93,533,634
177,45007-Simpsonville,501,1636,2157
178,45007-South Fant,327,227,562
179,45007-Starr,62,614,681
180,45007-Three And Twenty,345,1742,2104
181,45007-Toney Creek,66,475,547
182,45007-Town Creek,399,1146,1561
183,45007-Townville,100,543,649
184,45007-Varennes,262,365,635
185,45007-West Pelzer,246,1293,1554
186,45007-West Savannah,121,352,473
187,45007-White Plains,469,2191,2697
188,45007-Williamston,391,1316,1723
189,45007-Williamston Mill,272,1583,1866
190,45007-Wright's School,68,586,659
191,45009-Colston,37,87,124
192,45009-East Denmark,753,257,1034
193,45009-Edisto,70,177,247
194,45009-Ehrhardt,160,305,465
195,45009-Govan,47,35,82
196,45009-Hightower's Mill,22,19,41
197,45009-Hunter's Chapel,61,88,150
198,45009-Kearse,6,79,85
199,45009-Little Swamp,9,84,93
200,45009-North Bamberg,629,631,1272
201,45009-Olar,76,135,215
202,45009-South Bamberg,870,336,1225
203,45009-West Denmark,503,141,657
204,45011-Barnwell 1,215,223,441
205,45011-Barnwell 2,350,681,1047
206,45011-Barnwell 3,424,724,1161
207,45011-Barnwell 4,499,378,885
208,45011-Blackville 1,371,212,592
209,45011-Blackville 2,236,128,373
210,45011-Elko,172,236,413
211,45011-Friendship,33,488,526
212,45011-Healing Springs,368,151,523
213,45011-Hilda,56,614,673
214,45011-Kline,155,255,415
215,45011-Snelling,333,469,812
216,45011-Williston 1,499,368,883
217,45011-Williston 2,118,290,412
218,45011-Williston 3,229,371,606
219,45013-Beaufort 1,403,219,638
220,45013-Beaufort 2,407,380,798
221,45013-Beaufort 3,480,586,1081
222,45013-Belfair 1,321,566,896
223,45013-Belfair 2,333,565,903
224,45013-Bluffton 1A,267,382,654
225,45013-Bluffton 1B,240,481,728
226,45013-Bluffton 1C,247,440,691
227,45013-Bluffton 1D,194,170,374
228,45013-Bluffton 2A,303,461,777
229,45013-Bluffton 2B,392,501,907
230,45013-Bluffton 2C,455,876,1353
231,45013-Bluffton 2D,217,382,611
232,45013-Bluffton 2E,572,434,1019
233,45013-Bluffton 3,318,702,1032
234,45013-Bluffton 4A,345,910,1260
235,45013-Bluffton 4B,152,441,602
236,45013-Bluffton 4C,368,744,1119
237,45013-Bluffton 4D,323,621,949
238,45013-Bluffton 4E,280,460,751
239,45013-Bluffton 5A,338,599,949
240,45013-Bluffton 5B,338,521,864
241,45013-Bluffton 5C,289,323,616
242,45013-Bluffton 5D,160,419,587
243,45013-Bluffton 5E,279,395,683
244,45013-Bluffton 6A,248,483,736
245,45013-Bluffton 6B,285,597,887
246,45013-Bluffton 7A,531,872,1415
247,45013-Buckwalter 1,307,529,844
248,45013-Buckwalter 2,210,430,644
249,45013-Burton 1A,258,405,674
250,45013-Burton 1B,566,199,783
251,45013-Burton 1C,476,515,1001
252,45013-Burton 1D,177,240,423
253,45013-Burton 2A,297,498,805
254,45013-Burton 2B,250,496,757
255,45013-Burton 2C,355,644,1010
256,45013-Burton 2D,339,455,806
257,45013-Burton 3A,428,471,908
258,45013-Burton 3B,191,136,332
259,45013-Burton 4,307,176,491
260,45013-Burton 5A,246,418,677
261,45013-Burton 5B,361,317,684
262,45013-Chechessee 1,295,448,754
263,45013-Chechessee 2,312,573,893
264,45013-Chechessee 3,273,502,782
265,45013-Dale Lobeco,473,284,773
266,45013-Daufuskie,148,232,388
267,45013-Hilton Head 10,284,382,678
268,45013-Hilton Head 11,377,561,949
269,45013-Hilton Head 12,241,269,524
270,45013-Hilton Head 13,281,412,702
271,45013-Hilton Head 14,340,464,808
272,45013-Hilton Head 15A,225,266,494
273,45013-Hilton Head 15B,302,442,751
274,45013-Hilton Head 1A,445,509,963
275,45013-Hilton Head 1B,475,485,969
276,45013-Hilton Head 2A,515,543,1069
277,45013-Hilton Head 2B,301,287,597
278,45013-Hilton Head 2C,251,378,636
279,45013-Hilton Head 2D,298,229,538
280,45013-Hilton Head 2E,314,526,849
281,45013-Hilton Head 3,278,563,848
282,45013-Hilton Head 4A,314,377,703
283,45013-Hilton Head 4B,522,583,1120
284,45013-Hilton Head 4C,370,447,826
285,45013-Hilton Head 4D,398,490,893
286,45013-Hilton Head 5A,392,454,863
287,45013-Hilton Head 5B,343,437,790
288,45013-Hilton Head 5C,296,436,747
289,45013-Hilton Head 6,498,688,1201
290,45013-Hilton Head 7A,402,571,980
291,45013-Hilton Head 7B,270,415,695
292,45013-Hilton Head 7C,247,377,630
293,45013-Hilton Head 8,284,348,642
294,45013-Hilton Head 9A,223,279,509
295,45013-Hilton Head 9B,224,438,670
296,45013-Hilton Head 9C,312,382,703
297,45013-Hilton Head 9D,175,403,580
298,45013-Ladys Island 1A,221,291,531
299,45013-Ladys Island 1B,330,250,594
300,45013-Ladys Island 2A,177,362,543
301,45013-Ladys Island 2B,434,780,1232
302,45013-Ladys Island 2C,288,454,755
303,45013-Ladys Island 3A,346,506,866
304,45013-Ladys Island 3B,361,654,1028
305,45013-Ladys Island 3C,274,477,762
306,45013-Ladys Island 4A,357,433,800
307,45013-Ladys Island 4B,246,441,696
308,45013-Ladys Island 4C,259,528,797
309,45013-Moss Creek,582,754,1345
310,45013-Mossy Oaks 1A,270,384,667
311,45013-Mossy Oaks 1B,360,557,930
312,45013-Mossy Oaks 2,321,433,766
313,45013-New River 1,669,1239,1923
314,45013-New River 2,353,688,1050
315,45013-Palmetto Bluff,318,637,968
316,45013-Port Royal 1,369,459,839
317,45013-Port Royal 2,399,363,780
318,45013-Pritchardville 1,300,607,923
319,45013-Riverbend,409,784,1206
320,45013-Rose Hill 1,159,368,532
321,45013-Rose Hill 2,369,624,1000
322,45013-Sandy Pointe,367,473,848
323,45013-Seabrook 1,329,328,666
324,45013-Seabrook 2,392,250,652
325,45013-Seabrook 3,477,410,900
326,45013-Sheldon 1,412,398,827
327,45013-Sheldon 2,419,87,510
328,45013-Spanish Wells,375,406,801
329,45013-St. Helena 1A,689,248,952
330,45013-St. Helena 1B,632,294,948
331,45013-St. Helena 1C,510,774,1297
332,45013-St. Helena 2A,568,402,986
333,45013-St. Helena 2B,629,233,872
334,45013-St. Helena 2C,330,644,980
335,45013-Sun City 1,549,629,1187
336,45013-Sun City 10,288,342,636
337,45013-Sun City 2,418,461,887
338,45013-Sun City 3,337,421,762
339,45013-Sun City 4,457,631,1097
340,45013-Sun City 5,480,708,1196
341,45013-Sun City 6,499,598,1110
342,45013-Sun City 7,407,507,925
343,45013-Sun City 8,268,292,561
344,45013-Sun City 9,231,339,576
345,45015-Alvin,298,314,618
346,45015-Bethera,11,181,195
347,45015-Beverly Hill,421,375,809
348,45015-Bonneau,281,680,975
349,45015-Bonneau Beach,211,934,1152
350,45015-Boulder Bluff,793,643,1474
351,45015-Bushy Park,6,38,44
352,45015-Cainhoy,618,408,1045
353,45015-Cane Bay,1225,1692,2963
354,45015-Cane Bay East,600,909,1521
355,45015-Cane Bay North,1170,1899,3097
356,45015-Cane Bay South,548,833,1398
357,45015-Carnes Cross Road 1,192,867,1070
358,45015-Carnes Cross Roads 2,736,1246,1999
359,45015-Central,765,828,1615
360,45015-Cobblestone,610,571,1206
361,45015-Cordesville,301,612,926
362,45015-Cross,311,544,869
363,45015-Cypress,635,695,1347
364,45015-Daniel Island 1,750,1521,2304
365,45015-Daniel Island 2,694,730,1454
366,45015-Daniel Island 3,730,896,1648
367,45015-Daniel Island 4,975,1458,2462
368,45015-Devon Forest 1,577,701,1297
369,45015-Devon Forest 2,429,554,1001
370,45015-Discovery,726,676,1422
371,45015-Eadytown,298,166,471
372,45015-Fifty-two,712,657,1384
373,45015-Foster Creek 1,293,450,758
374,45015-Foster Creek 2,690,1034,1756
375,45015-Foster Creek 3,540,748,1312
376,45015-Foxbank,1000,1412,2466
377,45015-Hanahan 1,492,1089,1609
378,45015-Hanahan 2,269,466,747
379,45015-Hanahan 3,257,573,853
380,45015-Hanahan 4,238,321,571
381,45015-Hanahan 5,292,692,1000
382,45015-Harbour Lake,481,275,766
383,45015-Hilton Cross Roads,574,540,1132
384,45015-Horseshoe,329,483,822
385,45015-Howe Hall 1,745,584,1351
386,45015-Howe Hall 2,303,326,647
387,45015-Huger,627,818,1460
388,45015-Jamestown,198,184,386
389,45015-Lebanon,140,592,741
390,45015-Liberty Hall,852,721,1601
391,45015-Live Oak,156,870,1039
392,45015-Macedonia,108,1024,1143
393,45015-Macedonia 2,5,134,139
394,45015-McBeth,230,459,695
395,45015-Medway,1104,860,1992
396,45015-Moncks Corner 1,457,776,1254
397,45015-Moncks Corner 2,519,563,1095
398,45015-Moncks Corner 3,757,605,1379
399,45015-Moncks Corner 4,316,920,1251
400,45015-Moultrie,678,228,918
401,45015-Nexton,998,1515,2546
402,45015-North Creek,877,1228,2127
403,45015-Old 52,296,493,797
404,45015-Pimlico,375,989,1379
405,45015-Pinopolis,265,1178,1459
406,45015-Royle,298,451,763
407,45015-Russellville,688,185,886
408,45015-Sangaree 1,270,380,659
409,45015-Sangaree 2,377,563,956
410,45015-Sangaree 3,352,437,806
411,45015-Sedgefield 1,516,404,936
412,45015-Sedgefield 2,188,194,392
413,45015-Sedgefield 3,157,205,368
414,45015-Seventy Eight,498,600,1113
415,45015-Shulerville,111,185,301
416,45015-St. James,408,507,932
417,45015-St. Stephen 1,699,196,916
418,45015-St. Stephen 2,452,507,976
419,45015-Stone Lake,380,628,1021
420,45015-Stratford 1,368,418,797
421,45015-Stratford 2,458,928,1405
422,45015-Stratford 3,619,813,1444
423,45015-Stratford 4,491,660,1172
424,45015-Stratford 5,445,386,841
425,45015-The Village,779,1458,2273
426,45015-Tramway,332,546,896
427,45015-Wassamassaw 1,399,412,823
428,45015-Wassamassaw 2,832,1249,2108
429,45015-Weatherstone,521,713,1257
430,45015-Westview 1,339,713,1072
431,45015-Westview 2,433,731,1185
432,45015-Westview 3,351,697,1067
433,45015-Westview 4,375,670,1062
434,45015-Whitesville 1,727,625,1366
435,45015-Whitesville 2,354,310,675
436,45015-Wildcat Trail,866,1301,2189
437,45015-Yeamans Club,37,80,120
438,45015-Yellow House,1189,1814,3044
439,45017-Bethel,194,489,689
440,45017-Cameron,245,275,530
441,45017-Center Hill,384,425,820
442,45017-Creston,55,77,135
443,45017-Dixie,957,394,1370
444,45017-Fall Branch,131,216,353
445,45017-Fort Motte,80,121,201
446,45017-Lone Star,298,478,789
447,45017-Midway,39,193,233
448,45017-Murph Mill,167,136,313
449,45017-Sandy Run,345,1001,1359
450,45017-St. Matthews,441,662,1112
451,45019-Awendaw,550,621,1177
452,45019-Charleston 1,247,340,595
453,45019-Charleston 10,176,65,244
454,45019-Charleston 11,452,256,727
455,45019-Charleston 12,675,281,978
456,45019-Charleston 13,536,156,706
457,45019-Charleston 14,386,190,589
458,45019-Charleston 15,741,403,1163
459,45019-Charleston 16,556,145,716
460,45019-Charleston 17,599,133,758
461,45019-Charleston 18,685,211,929
462,45019-Charleston 19,417,91,518
463,45019-Charleston 2,297,380,687
464,45019-Charleston 20,702,232,956
465,45019-Charleston 21,360,60,424
466,45019-Charleston 3,406,303,725
467,45019-Charleston 4,357,310,676
468,45019-Charleston 5,317,257,582
469,45019-Charleston 6,434,274,717
470,45019-Charleston 7,458,298,765
471,45019-Charleston 8,476,163,661
472,45019-Charleston 9,285,142,437
473,45019-Christ Church,353,466,825
474,45019-Deer Park 1A,487,270,775
475,45019-Deer Park 1B,1130,838,2011
476,45019-Deer Park 2A,878,723,1623
477,45019-Deer Park 2B,667,381,1061
478,45019-Deer Park 2C,369,313,691
479,45019-Deer Park 3,946,401,1373
480,45019-Edisto Island,614,712,1344
481,45019-Folly Beach 1,371,315,692
482,45019-Folly Beach 2,456,402,880
483,45019-Isle Of Palms 1A,294,486,803
484,45019-Isle Of Palms 1B,447,662,1122
485,45019-Isle Of Palms 1C,561,848,1426
486,45019-James Island 10,627,589,1238
487,45019-James Island 11,762,753,1549
488,45019-James Island 12,517,557,1094
489,45019-James Island 13,630,683,1333
490,45019-James Island 14,299,386,691
491,45019-James Island 15,679,544,1247
492,45019-James Island 17,670,620,1327
493,45019-James Island 19,721,581,1328
494,45019-James Island 1A,922,745,1695
495,45019-James Island 1B,613,193,822
496,45019-James Island 20,653,486,1159
497,45019-James Island 22,738,484,1258
498,45019-James Island 3,509,113,640
499,45019-James Island 5A,524,630,1172
500,45019-James Island 5B,258,400,677
501,45019-James Island 6,743,599,1372
502,45019-James Island 7,850,738,1623
503,45019-James Island 8A,723,444,1191
504,45019-James Island 8B,767,595,1392
505,45019-James Island 9,566,540,1131
506,45019-Johns Island 1A,639,968,1629
507,45019-Johns Island 1B,1137,1089,2263
508,45019-Johns Island 2,2164,2524,4769
509,45019-Johns Island 3A,1848,2219,4135
510,45019-Johns Island 3B,788,835,1654
511,45019-Johns Island 4,495,450,967
512,45019-Kiawah Island,859,876,1761
513,45019-Ladson,1130,780,1940
514,45019-Lincolnville,763,588,1375
515,45019-McClellanville,767,579,1359
516,45019-Mt. Pleasant 1,554,584,1166
517,45019-Mt. Pleasant 10,335,534,880
518,45019-Mt. Pleasant 11,508,649,1175
519,45019-Mt. Pleasant 12,975,1100,2102
520,45019-Mt. Pleasant 13,385,362,755
521,45019-Mt. Pleasant 14,460,548,1023
522,45019-Mt. Pleasant 15,1000,960,1998
523,45019-Mt. Pleasant 16,230,410,653
524,45019-Mt. Pleasant 17,914,1323,2274
525,45019-Mt. Pleasant 18,403,588,1004
526,45019-Mt. Pleasant 19,708,846,1580
527,45019-Mt. Pleasant 2,353,515,887
528,45019-Mt. Pleasant 20,585,586,1191
529,45019-Mt. Pleasant 21,602,705,1326
530,45019-Mt. Pleasant 22,784,862,1675
531,45019-Mt. Pleasant 23,822,805,1650
532,45019-Mt. Pleasant 24,290,361,659
533,45019-Mt. Pleasant 25,361,545,918
534,45019-Mt. Pleasant 26,402,18,427
535,45019-Mt. Pleasant 27,997,1405,2446
536,45019-Mt. Pleasant 28,403,517,940
537,45019-Mt. Pleasant 29,121,140,263
538,45019-Mt. Pleasant 3,697,597,1321
539,45019-Mt. Pleasant 30,708,948,1679
540,45019-Mt. Pleasant 31,544,811,1370
541,45019-Mt. Pleasant 32,755,1453,2235
542,45019-Mt. Pleasant 33,1323,2518,3889
543,45019-Mt. Pleasant 34,562,879,1454
544,45019-Mt. Pleasant 35,1692,2716,4472
545,45019-Mt. Pleasant 36,663,777,1478
546,45019-Mt. Pleasant 37,1417,1610,3062
547,45019-Mt. Pleasant 38,573,957,1551
548,45019-Mt. Pleasant 39,1636,2851,4532
549,45019-Mt. Pleasant 4,548,609,1176
550,45019-Mt. Pleasant 5,412,529,952
551,45019-Mt. Pleasant 6,689,831,1551
552,45019-Mt. Pleasant 7,365,458,833
553,45019-Mt. Pleasant 8,348,358,720
554,45019-Mt. Pleasant 9,364,507,894
555,45019-North Charleston 1,456,80,548
556,45019-North Charleston 10,441,121,585
557,45019-North Charleston 11,396,276,684
558,45019-North Charleston 12,494,273,794
559,45019-North Charleston 13,345,65,416
560,45019-North Charleston 14,351,162,530
561,45019-North Charleston 15,543,102,662
562,45019-North Charleston 16,596,223,838
563,45019-North Charleston 17,400,112,520
564,45019-North Charleston 18,608,224,852
565,45019-North Charleston 19,519,135,664
566,45019-North Charleston 2,229,36,268
567,45019-North Charleston 20,259,229,494
568,45019-North Charleston 21,495,241,751
569,45019-North Charleston 22,454,194,660
570,45019-North Charleston 23,874,465,1359
571,45019-North Charleston 24,1018,373,1429
572,45019-North Charleston 25,284,80,374
573,45019-North Charleston 26,138,35,176
574,45019-North Charleston 27,372,147,529
575,45019-North Charleston 28,286,84,381
576,45019-North Charleston 29,246,123,373
